City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,horta,38.5333,-28.6333,17.8,80,40,12.35,PT,1732781606
84,tazacorte,28.629,-17.9293,21.19,55,20,4.47,ES,1732781607
85,port mathurin,-19.6833,63.4167,24.72,75,53,9.91,MU,1732781608
86,selfoss,63.9331,-20.9971,-6.34,74,21,6.17,IS,1732781609
87,guerrero negro,27.9769,-114.0611,16.26,95,99,4.23,MX,1732781362
88,tazovsky,67.4667,78.7,-13.86,90,73,5.99,RU,1732781611
89,mathis,28.0945,-97.828,19.2,88,50,2.94,US,1732781614
90,port alfred,-33.5906,26.891,20.66,65,80,2.68,ZA,1732781615
91,viedma,-40.8135,-62.9967,10.34,92,0,2.85,AR,1732781616
92,ain sefra,32.75,-0.5833,13.84,45,0,1.34,DZ,1732781617
93,alotau,-10.3069,150.4462,27.43,82,1,1.8,PG,1732781618
94,punta arenas,-53.15,-70.9167,4.06,81,0,2.06,CL,1732781619
95,binhe,32.6883,112.8275,13.73,21,0,5.58,CN,1732781620
96,mount gambier,-37.8333,140.7667,14.27,79,100,4.03,AU,1732781621
97,olonkinbyen,70.9221,-8.7187,-6.77,93,100,26.65,SJ,1732781622
98,coromandel,-18.4733,-47.2003,18.81,85,44,0.75,BR,1732781623
99,cam ranh,11.9214,109.1591,26.98,65,40,11.32,VN,1732781624
100,santiago papasquiaro,25.046,-105.4208,13.7,31,55,2.06,MX,1732781625
101,saint-philippe,-21.3585,55.7679,24.36,75,56,6.49,RE,1732781626
102,hawaiian paradise park,19.5933,-154.9731,22.73,83,20,2.57,US,1732781627
103,nabire,-3.3667,135.4833,28.15,83,100,1.82,ID,1732781629
104,arno,60.1167,18.6333,2.89,88,100,5.8,SE,1732781630
105,port erin,54.0849,-4.751,5.93,70,20,7.72,IM,1732781631
106,nsanje,-16.92,35.262,39.02,26,97,3.89,MW,1732781632
107,isola di capo rizzuto,38.96,17.0933,14.41,88,0,1.54,IT,1732781633
108,isafjordur,66.0755,-23.124,-5.98,63,75,7.72,IS,1732781634
109,east london,-33.0153,27.9116,16.52,88,75,7.2,ZA,1732781635
110,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,64,75,2.0,RU,1732781636
111,port-vila,-17.7338,168.3219,25.78,89,100,2.57,VU,1732781577
112,santa cruz,-17.8,-63.1667,24.7,94,75,7.2,BO,1732781638
113,ilulissat,69.2167,-51.1,-9.99,57,100,6.17,GL,1732781639
114,senanga,-16.1167,23.2667,28.75,48,53,4.72,ZM,1732781640
115,zouerate,22.7187,-12.4521,19.33,28,2,3.67,MR,1732781641
116,iskateley,67.6803,53.1512,-7.17,92,47,3.08,RU,1732781642
117,lib,8.3122,167.3766,28.35,80,64,10.15,MH,1732781644
118,chumphon,10.3333,98.8333,24.03,90,100,3.16,TH,1732781645
119,arraial do cabo,-22.9661,-42.0278,22.69,91,54,9.51,BR,1732781646
120,pitea,65.3172,21.4794,-9.32,92,22,1.14,SE,1732781647
121,coyuca de benitez,17.0333,-100.0667,22.87,86,0,1.65,MX,1732781648
122,liman,48.9884,37.8023,1.12,82,81,1.81,UA,1732781649
123,praia da vitoria,38.7333,-27.0667,16.14,88,20,7.6,PT,1732781650
124,piti village,13.4626,144.6933,28.03,90,20,5.14,GU,1732781651
125,saipan,15.1355,145.701,27.39,83,100,6.69,MP,1732781385
126,qaqortoq,60.7167,-46.0333,-11.28,73,69,3.35,GL,1732781653
127,longyearbyen,78.2186,15.6401,-17.09,60,20,5.66,SJ,1732781654
128,udachny,66.4167,112.4,-11.73,95,100,5.35,RU,1732781655
129,coquimbo,-29.9533,-71.3436,11.85,90,0,0.0,CL,1732781576
130,flin flon,54.7682,-101.865,-18.71,99,32,2.25,CA,1732781657
131,tostado,-29.232,-61.7692,21.1,88,100,1.34,AR,1732781658
132,fort stockton,30.894,-102.8793,11.03,56,0,4.12,US,1732781660
133,kayes,14.0,-11.0,22.92,21,6,1.02,ML,1732781662
134,guilin,25.2819,110.2864,20.88,26,26,4.61,CN,1732781663
135,tahla,34.0485,-4.428,16.67,45,1,1.76,MA,1732781664
136,marco,25.9726,-81.729,17.01,81,0,3.04,US,1732781665
137,loiza,18.4313,-65.8802,26.93,90,62,3.32,PR,1732781666
138,constantia,44.1833,28.65,4.38,72,99,1.2,RO,1732781647
139,tulun,54.5611,100.5792,2.34,72,100,5.34,RU,1732781424
140,lamar,33.6668,-95.5836,9.38,65,0,5.14,US,1732781578
141,taulaga,-11.0553,-171.0883,28.69,73,99,5.3,AS,1732781672
142,washington court house,39.5364,-83.4391,3.79,95,100,6.17,US,1732781673
143,rongelap,11.1635,166.8941,28.34,81,15,9.06,MH,1732781674
144,qamdo,31.1667,97.2333,1.16,34,95,1.63,CN,1732781675
145,isla vista,34.4133,-119.861,14.9,94,100,0.0,US,1732781676
146,el granada,37.5027,-122.4694,10.75,62,0,2.06,US,1732781677
147,kalmunai,7.4167,81.8167,27.43,80,93,11.42,LK,1732781671
148,newman,37.3138,-121.0208,7.62,64,0,1.58,US,1732781679
149,ko lanta,7.5336,99.0865,24.6,89,100,6.6,TH,1732781680
150,labytnangi,66.6572,66.4183,-12.59,95,19,1.93,RU,1732781681
151,suzhou,31.3114,120.6181,11.44,28,0,7.81,CN,1732781682
152,polyarnyy,69.1989,33.4478,-8.88,85,30,5.81,RU,1732781683
153,novyy urgal,51.0736,132.5642,-4.95,95,100,2.87,RU,1732781685
